STATION CODE,RIVER,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,D.O. (mg/l) : Min : > 4 mg/l,D.O. (mg/l) : Max : > 4 mg/l,D.O. (mg/l) : Mean : > 4 mg/l,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,WQI
1523,borewell,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",ANDHRA PRADESH,27,27,27,5.241992883,7.93727758,6.566725979,7.9,7.9,7.9,347,347,347,1,1,1,0.2,0.2,0.2,3,3,3,14,14,14,51.9158609
1524,,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",ANDHRA PRADESH,26,26,26,5.241992883,7.93727758,6.566725979,7.4,7.4,7.4,1904,1904,1904,1.2,1.2,1.2,1.5,1.5,1.5,4,4,4,4,4,4,57.78321384
1795,borewell,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST., A.P",ANDHRA PRADESH,32,32,32,5.241992883,7.93727758,6.566725979,7.7,7.7,7.7,3180,3180,3180,6.8,6.8,6.8,8,8,8,10,10,10,86,86,86,108.6854687
1810,borewell,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",ANDHRA PRADESH,28,28,28,5.241992883,7.93727758,6.566725979,7.5,7.5,7.5,1462,1462,1462,1,1,1,5,5,5,10,10,10,64,64,64,71.81674325
1811,borewell,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,29,29,29,5.241992883,7.93727758,6.566725979,6.9,6.9,6.9,4010,4010,4010,1.8,1.8,1.8,2,2,2,10,10,10,32,32,32,62.12890011
3087,borewell,"BORE WELL NEAR VILLAGE SECRETARIAT, PATHAPADU (V), KRISHNA, A.P.",ANDHRA PRADESH,23,23,23,5.241992883,7.93727758,6.566725979,7.1,7.1,7.1,1976,1976,1976,2.929793103,8.953931034,5.225103448,5.2,5.2,5.2,1626.697735,5921829.107,537786.4991,400,400,400,5468.565548
3088,borewell,"B/W AT J.NARASIMHA RAOS HOUSE, 14NOS. AREA, RAMAVARAM, NEAR MWS DUMPSITE, KOTHAGUDEM, KHAMMAM, A.P.",ANDHRA PRADESH,20,20,20,5.241992883,7.93727758,6.566725979,7.2,7.2,7.2,1700,1700,1700,2.929793103,8.953931034,5.225103448,0.7,0.7,0.7,1626.697735,5921829.107,537786.4991,400,400,400,5449.889077
3089,,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,25,25,25,5.241992883,7.93727758,6.566725979,7.7,7.7,7.7,2951,2951,2951,1.2,1.2,1.2,4.7,4.7,4.7,4,4,4,9,9,9,71.34963541
3090,,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM , A.P.",ANDHRA PRADESH,26,26,26,5.241992883,7.93727758,6.566725979,7.2,7.2,7.2,2311,2311,2311,1,1,1,8.6,8.6,8.6,120,120,120,2400,2400,2400,93.53615502
3091,borewell,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,25,25,25,5.241992883,7.93727758,6.566725979,7.8,7.8,7.8,2608,2608,2608,1,1,1,8.8,8.8,8.8,4,4,4,28,28,28,87.72066482
3092,borewell,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM, A.P.",ANDHRA PRADESH,25,25,25,5.241992883,7.93727758,6.566725979,7.6,7.6,7.6,911,911,911,1,1,1,3.5,3.5,3.5,9,9,9,120,120,120,65.77027266
3093,borewell,"B/W AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM, DISTT SRIKAKULAM, A.P.",ANDHRA PRADESH,25,25,25,5.241992883,7.93727758,6.566725979,7.9,7.9,7.9,2096,2096,2096,1,1,1,6.3,6.3,6.3,4,4,4,11,11,11,77.33502756
3094,borewell,"Bore well at Akbarnagar, Ramagundam ",ANDHRA PRADESH,0,0,0,5.241992883,7.93727758,6.566725979,7.6,7.6,7.6,896,896,896,16,16,16,0,0,0,1626.697735,5921829.107,537786.4991,3752.13196,17267378.5,1591360.454,9469.563065
1791,borewell,Borewell at Pydipally near East side of Sai cheruvu ,ANDHRA PRADESH,0,0,0,5.241992883,7.93727758,6.566725979,7.9,7.9,7.9,1184,1184,1184,34,34,34,0,0,0,1626.697735,5921829.107,537786.4991,3752.13196,17267378.5,1591360.454,9544.783654
1792,borewell,"Borewell at CKM College, Enamamula ",ANDHRA PRADESH,0,0,0,5.241992883,7.93727758,6.566725979,8.1,8.1,8.1,1312,1312,1312,56,56,56,0,0,0,1626.697735,5921829.107,537786.4991,3752.13196,17267378.5,1591360.454,9636.597379
1793,,Open well at Kundanpally near ash ponds of NTPC ,ANDHRA PRADESH,0,0,0,5.241992883,7.93727758,6.566725979,8.1,8.1,8.1,1784,1784,1784,21,21,21,0,0,0,1626.697735,5921829.107,537786.4991,3752.13196,17267378.5,1591360.454,9490.764046
1794,borewell,Borewell at Manakondur ,ANDHRA PRADESH,0,0,0,5.241992883,7.93727758,6.566725979,8,8,8,1099,1099,1099,24,24,24,0,0,0,1626.697735,5921829.107,537786.4991,3752.13196,17267378.5,1591360.454,9503.190516
16,,Open well at Tadavai ,ANDHRA PRADESH,0,0,0,5.241992883,7.93727758,6.566725979,7.6,7.6,7.6,1577,1577,1577,12,12,12,0,0,0,1626.697735,5921829.107,537786.4991,3752.13196,17267378.5,1591360.454,9452.896399
26,borewell,Borewell at Vijayawada,ANDHRA PRADESH,22,22,22,5.241992883,7.93727758,6.566725979,7.3,7.3,7.3,1738,1738,1738,2.929793103,8.953931034,5.225103448,0.95,0.95,1,1626.697735,5921829.107,537786.4991,400,400,400,5451.212606
27,borewell,B/w at Peddavoora ,ANDHRA PRADESH,30,30,30,5.241992883,7.93727758,6.566725979,7.9,7.9,7.9,497,497,497,1,1,1,3,3,3,10,10,10,24,24,24,63.67752756
1533,,"*DIGBOI, TINSUKIA DISTT.,  ASSAM",Assam,23,24,23.5,5.241992883,7.93727758,6.566725979,6.4,6.6,6.5,734,762,748,0.7,2,1.4,5.4,8.6,7,0,36,18,0,24000,12000,111.0014491
1534,,"*KARBI  ANGLONG DISTT., ASSAM",Assam,23,24,23.5,5.241992883,7.93727758,6.566725979,6.2,6.5,6.4,205,470,338,0.7,1.5,1.1,0.2,1.2,0.7,0,150,75,0,11000,5500,67.74791972
1535,,"*SIBSAGAR , ASSAM",Assam,24,25,24.5,5.241992883,7.93727758,6.566725979,6.4,7.5,7,302,364,333,0.9,1.8,1.4,0.3,0.7,0.5,0,0,0,91,91,91,54.33326286
1536,,"*SIBSAGAR, ASSAM",Assam,20,25,22.5,5.241992883,7.93727758,6.566725979,5.5,5.8,5.7,696,885,791,1.3,2.4,1.9,0.1,0.4,0.3,0,0,0,0,91,46,54.51488051
1537,,"*(JORHAT, ASSAM",Assam,24,25,24.5,5.241992883,7.93727758,6.566725979,6.6,7.4,7,440,579,510,1.1,3.3,2.2,2.4,3.8,3.1,36,72,54,2100,4600,3350,77.18742953
1538,,"*SILCHAR, ASSAM",Assam,20,24,22,5.241992883,7.93727758,6.566725979,4.7,5.4,5.1,100,149,125,0.3,1,0.7,2.5,4.8,3.7,0,36,18,0,4600,2300,69.0553707
1539,,"*BARPETA, ASSAM",Assam,24,31,27.5,5.241992883,7.93727758,6.566725979,6.2,7.4,6.8,154,1043,599,1,2.9,2,0.5,2.5,1.5,0,0,0,0,0,0,60.6253707
1540,,"*BONAIGAON, ASSAM",Assam,23,32,27.5,5.241992883,7.93727758,6.566725979,5.3,6.4,5.9,146,746,446,0.9,1.3,1.1,0.1,0.4,0.3,0,0,0,0,0,0,51.213606
1541,,"*GUWAHATI, ASSAM",Assam,22,24,23,5.241992883,7.93727758,6.566725979,6.3,6.4,6.4,734,1362,1048,1,3.8,2.4,7.4,12.2,9.8,0,240,120,230,24000,12115,128.0687531
1542,,"*GUWAHATI, ASSAM",Assam,24,26,25,5.241992883,7.93727758,6.566725979,6.5,7.3,6.9,440,991,716,0.6,2.4,1.5,0.6,1.1,0.9,0,36,18,0,91,46,56.41056678
2243,,"GROUND WATER FROM LEDO, MARGHERITA",Assam,23,23,23,5.241992883,7.93727758,6.566725979,5.7,5.7,5.7,436,745,591,0.7,0.9,0.8,6.7,9.8,8.3,0,0,0,0,0,0,83.14988051
2244,,GROUND WATER FROM NAZIRA,Assam,21,25,23,5.241992883,7.93727758,6.566725979,6.3,6.9,6.6,520,604,562,0.8,1.4,1.1,3.3,3.8,3.6,0,9300,4650,36,9301,4669,123.6508119
2245,,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),Assam,25,28,26.5,5.241992883,7.93727758,6.566725979,5.4,5.9,5.7,95,400,248,0.9,1.1,1,1,4,2.5,30,430,230,431,1500,966,64.53154717
2246,,GROUND WATER FROM SEMENCHAPARI,Assam,20,22,21,5.241992883,7.93727758,6.566725979,6.2,6.9,6.6,470,617,544,0.7,0.9,0.8,0,0.2,0.1,0,0,0,0,0,0,49.64497855
2247,,GROUND WATER FROM SILAPATHAR,Assam,20,22,21,5.241992883,7.93727758,6.566725979,6.1,6.2,6.2,591,706,649,0.2,0.7,0.5,0.3,6.3,3.3,0,0,0,0,36,18,61.47919423
2248,,GROUND WATER FROM LAKHIMPUR TOWN,Assam,26,26,26,5.241992883,7.93727758,6.566725979,6,7.1,6.6,810,823,817,1.2,3.2,2.2,1.4,9.8,5.6,0,0,0,30,360,195,78.88247855
2249,,GROUND WATER FROM TEZPUR (MISSION CHARIALI),Assam,26,28,27,5.241992883,7.93727758,6.566725979,5.8,6.4,6.1,142,247,195,1,1.1,1.1,0.8,1.7,1.3,0,0,0,0,36,18,55.57233149
2250,,GROUND WATER FROM NAGAON (PANIGAON),Assam,28,29,28.5,5.241992883,7.93727758,6.566725979,6.5,6.6,6.6,371,578,475,0.4,0.7,0.6,1,2.1,1.6,0,0,0,0,0,0,55.06164521
2251,,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,Assam,25,29,27,5.241992883,7.93727758,6.566725979,5.7,7.2,6.5,995,1648,1322,0.5,4.2,2.4,5.9,8.6,7.3,0,73,37,0,11000,5500,100.3581158
2252,,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,24,24,24,5.241992883,7.93727758,6.566725979,6.4,6.4,6.4,417,417,417,1.3,1.3,1.3,0.1,0.1,0.1,0,0,0,0,0,0,51.58125306
2253,,GROUND WATER FROM NALBARI,Assam,25,26,25.5,5.241992883,7.93727758,6.566725979,6.6,7.1,6.9,456,745,601,1.1,1.1,1.1,4.4,6.5,5.5,0,0,0,0,0,0,73.61556678
2254,,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,25.1,32,28.6,5.241992883,7.93727758,6.566725979,6.8,7,6.9,870,1205,1038,0.1,0.5,0.3,0.2,0.2,0.2,0,930,465,0,110000,55000,190.3489001
2255,,"GROUND WATER NEAR BPRL, DHALIGAON",Assam,26.5,32,29.3,5.241992883,7.93727758,6.566725979,6.4,7.4,6.9,600,893,747,0.6,1,0.8,4.9,7.3,6.1,0,0,0,0,4600,2300,80.61556678
2256,,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,25,32,28.5,5.241992883,7.93727758,6.566725979,6.4,6.5,6.5,136,893,515,0.6,0.6,0.6,3,4.9,4,0,91,46,360,930,645,67.0606158
2257,,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),Assam,24.2,34,29.1,5.241992883,7.93727758,6.566725979,7.2,7.2,7.2,729,1036,883,0.5,1.2,0.9,0.1,0.5,0.3,0,2300,1150,91,2301,1196,65.82615502
2258,,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),Assam,27,33,30,5.241992883,7.93727758,6.566725979,6.5,6.6,6.6,465,613,539,0.4,1.1,0.8,2.8,3.1,3,0,0,0,230,2300,1265,64.89081188
2259,,GROUND WATER FROM DIPHU (GOVT. COLLEGE),Assam,28,29,28.5,5.241992883,7.93727758,6.566725979,7.2,7.5,7.4,1126,1904,1515,0.7,2.8,1.8,1.2,1.9,1.6,0,0,0,0,0,0,60.64988051
